                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.91551,                 0.8347,                 1.1416,                0.94449,                0.88339,                0.94776,                0.76383,                0.79501,                0.58304,                 1.0179,             0.00022009,             0.00022009,             0.00022009
                     83,                0.92888,                 0.8539,                 1.1433,                0.92459,                0.89537,                0.94952,                0.76518,                0.78981,                0.57451,                 1.0136,             0.00020909,             0.00020909,             0.00020909
                     84,                0.93889,                0.86268,                 1.1461,                0.93425,                0.89369,                0.95018,                0.76606,                0.78549,                0.58246,                 1.0104,             0.00019809,             0.00019809,             0.00019809
                     85,                0.90027,                0.84398,                 1.1327,                0.93909,                0.89119,                0.95158,                0.76841,                0.77628,                0.56767,                 1.0002,             0.00018709,             0.00018709,             0.00018709
                     86,                0.92082,                0.84535,                 1.1482,                0.94221,                0.89605,                0.95154,                0.77223,                0.76994,                0.56479,                 1.0018,             0.00017609,             0.00017609,             0.00017609
                     87,                0.90403,                0.82854,                 1.1271,                0.94272,                0.89202,                0.95189,                0.77466,                 0.7626,                0.55512,                0.99878,             0.00016509,             0.00016509,             0.00016509
                     88,                0.90384,                0.83357,                 1.1372,                0.94693,                0.89617,                0.95412,                0.78077,                0.75847,                0.55802,                0.99316,              0.0001541,              0.0001541,              0.0001541
                     89,                0.89483,                0.82605,                 1.1316,                0.94769,                0.88998,                 0.9537,                 0.7793,                0.76219,                0.54633,                0.99203,              0.0001431,              0.0001431,              0.0001431
                     90,                0.90727,                0.82277,                 1.1339,                0.94635,                0.89682,                0.95445,                0.78056,                0.76031,                0.54828,                0.99124,              0.0001321,              0.0001321,              0.0001321
                     91,                0.90102,                0.78678,                  1.129,                0.94656,                 0.8816,                 0.9482,                  0.762,                0.79248,                0.57259,                 1.0051,              0.0001211,              0.0001211,              0.0001211
                     92,                0.86321,                0.69791,                 1.1153,                0.95039,                0.88926,                0.95098,                0.77249,                0.76798,                0.55495,                0.99469,              0.0001101,              0.0001101,              0.0001101
                     93,                0.83858,                0.67072,                 1.0923,                 0.9521,                0.89494,                 0.9536,                0.77585,                0.76246,                0.54752,                 0.9904,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.83604,                0.66233,                 1.0919,                0.95398,                0.89746,                0.95505,                0.78294,                0.75333,                0.53928,                0.98297,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.80962,                0.64019,                 1.0644,                0.95237,                0.89696,                0.95773,                0.78539,                0.74484,                0.53316,                0.97828,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.80523,                0.64142,                 1.0731,                0.94593,                0.90516,                0.95788,                0.78759,                0.73846,                0.52837,                0.97519,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.79094,                0.62963,                 1.0734,                0.95091,                0.90756,                0.95926,                0.79052,                0.73409,                0.52303,                0.97372,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 0.7912,                0.62098,                 1.0637,                0.95251,                0.90336,                0.95973,                0.79313,                0.73093,                0.52032,                0.97046,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.79492,                0.61007,                 1.0632,                0.95527,                0.90702,                0.96064,                0.79433,                0.72982,                0.52091,                0.96898,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.78641,                0.62096,                 1.0592,                0.95307,                0.90929,                0.96085,                0.79539,                0.72455,                0.51474,                0.96655,             2.2109e-05,             2.2109e-05,             2.2109e-05
